,Tweet,User,Filtered Tweets,Prediction
0,"@SoulDancingStud  I will create a Christmas dance video to your Christmas music #ARGvsKSA #babygirl #cardiacarrest #ChrisBrown #chriseanrock #Christmas #Dancing #DonaldTrump #DropDream #music #USA #Video Kindly click on the link for more details 
https://t.co/XEpY48dWn4
Thanks",Dancer_nana1,create christmas dance video christmas music argvsksa babygirl cardiacarrest chrisbrown chriseanrock christmas dancing donaldtrump dropdream music usa video kindly click link detail thanks,Sexist/Racist
1,"@NEWSMAX @Blaidd_tx I am so proud of luz Cheney. She is an American patriot who believes in the rule of law like the rest of Americans do, except the Republican Party. Donald trump is a total disgrace and disaster for this country. He used this country to creat wealth for himself. Grifter",Christo86017632,proud luz cheney american patriot belief rule law like rest american except republican party donald trump total disgrace disaster country used country creat wealth grifter,Neutral
2,"Seth Meyers hit Donald Trump, Eric Trump and Donald Trump Jr. with a Thanksgiving-themed zinger. https://t.co/yyDRNQlHRu via @HuffPostEnt",Megresistor,seth meyers hit donald trump eric trump donald trump jr thanksgivingthemed zinger httpstcoyydrnqlhru via,Sexist/Racist
3,What do you call a guy with no arms and no legs who ??? Donald Trump!,BotfulJokes,call guy arm leg donald trump,Neutral
4,"@Mxstr76ArmyMom I mean PJW's horrible food horror, Donald Trump Jr's welldone steak, and other food gore make me wonder.",daleksoup1,mean pjws horrible food horror donald trump jr welldone steak food gore make wonder,Neutral
5,Aubrey O'Day Declares Ex Donald Trump Jr. Has Turned Into 'A Ridiculous Joke' via @okmagazine https://t.co/EXLBECEaPh,hardknoxfirst,aubrey oday declares ex donald trump jr turned ridiculous joke via httpstcoexlbeceaph,Neutral
6,@MSNBC Father's will get equal rights in family court before we see anything happen to Donald Trump......and we already know father's will NEVER have equal rights in family court. #MAGA #familycourt #ParentalAlienation,ImJustHereLook4,father get equal right family court see anything happen donald trumpand already know father never equal right family court maga familycourt parentalalienation,Neutral
7,Disrespect Donald Trump,Fuckdonaldxmike,disrespect donald trump,Neutral
8,"I just signed a petition urging @meta not to allow Donald Trump back on Facebook.

Add your name here: https://t.co/N45Cnawvnw",Nocturne_dragon,signed petition urging allow donald trump back facebook add name httpstcon45cnawvnw,Neutral
9,Alex jones and Donald Trump ❌ dictators who push for the murder of protesters and rape of virgins so they don’t go to heaven ✅ https://t.co/p0lhYeXSxz https://t.co/sfZqs0SFQP,JoshuaKitson4,alex jones donald trump dictator push murder protester rape virgin dont go heaven httpstcop0lhyexsxz httpstcosfzqs0sfqp,Neutral
